平水韵韵部,声调,词林正韵部,潮汕音韵母,此韵母归此韵的字,同读此韵母但不属此韵的字,韵母匹配度
二冬,上平,第一部,o,喁禺,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,2/385
二冬,上平,第一部,ong,淙蜂农烽懵浓封棕缝峰丰哝宗冬茏秾蚣咚琮葑彤逢锋脓踪,盎幫帮膀蚌磅鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢蕩荡東东氡蝀鼕董懂侗…,25/311
二冬,上平,第一部,ueng,衡,耿橫横蘅薨弘宏泓憬傾倾頃顷惸煢茕潁颍穎颖孕幕慢緩賺菅顏攢淵銑…,1/259
三江,上平,第二部,ang,邦泷茳杠梆江豇缸扛尨双逄庞,骯肮昂浜幫帮綁绑榜膀蚌棒傍蒡稖磅謗谤崩繃绷甏蹦倉仓蒼苍滄沧艙…,13/520
三江,上平,第二部,iang,腔降洚江,昌倀伥菖猖娼閶阊鯧鲳長长萇苌常徜場场腸肠嘗尝嫦嚐償偿鱨鲿昶敞…,4/262
三江,上平,第二部,iong,枞跫,冲充沖忡茺翀舂衝憧艟崇蟲虫寵宠銃铳蓯苁樅從从叢丛弓供恭躬宮宫…,2/184
三江,上平,第二部,ong,淙泷杠逢嵕幢窗拢,盎幫帮膀蚌磅鎊镑甭泵囱匆蔥葱聰聪驄骢琮蕩荡冬東东咚氡蝀鼕董懂…,8/318
三江,上平,第二部,uang,撞桩,牀床噇闖闯方邡坊芳枋鈁钫防妨肪房仿昉倣舫紡纺訪访髣放封風风瘋…,2/164
四支,上平,第三部,a,差罢嵯,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷霸壩坝灞欛吧骲飽饱趵豹…,3/239
四支,上平,第三部,ai,筛菑诗差涯箄崖台,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,8/340
四支,上平,第三部,au,牦犛,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奡傲奧奥隩嶴岙澳懊…,2/491
四支,上平,第三部,e,呢蛇,嗄扒把爸耙唄呗廁厕叉扠杈茶查儕侪車车硨砗扯尺爹父華华藉籍加枷…,2/155
四支,上平,第三部,ek,只,隘白百佰柏薄北逼愎煏愊碧薜壁璧襞伯帛舶擘卜蔔冊册側侧策廁厕測…,1/426
四支,上平,第三部,i,痍怡嘻郗诒呢彝郫圮匜眙禔璃卑砥郿篪疑墀机牦湄崎麒仪琪祇黧罴奇尼卮蓰熹踟淇治媸姬埘骑怩螭糜欹移期帔祁岐脾劙宧犁徛耆丕离迤眵知莳貤蜘琦祺𫄨嶷曦坻诗鬐支披鸱胝痴熙綦夷褫肌箕眉縻蜊弥鲥羁氏旗醨剂基骊疲邳琵蚩埤葹魑饥蕲蛇犛嬉荠施弛僖纰毗猗棋鹂笞狸篱劘骐栀倪黐蜞居枝俾噫巇提姨丽歧嗤摛蚑皮黟麋蘼禧羲贻其欺伊持蠡楣罹驰碑蚳畸祗椸牺簃比伎陂嫠裨匙漪枇漓戏池萁梨宜医颐椅嵋貔蓍咿鳍,稗背被備备鞁憊惫鞴賁贲屄腟鼻匕疕妣彼秕鄙魮𱇒庇畀痺毖陛狴閉闭…,181/946
四支,上平,第三部,ia,崎佳,才車车硨砗爹伽藉籍寄加迦珈枷痂家耞笳袈葭跏傢嘉斝賈贾檟槚价架…,2/135
四支,上平,第三部,in,脂肢寅椅,箅篦砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈…,4/276
四支,上平,第三部,iong,嬴,冲充沖忡茺翀舂衝憧艟崇蟲虫寵宠銃铳蓯苁樅枞從从叢丛弓供恭躬宮…,1/184
四支,上平,第三部,iu,龟,彪滮抽犨仇惆酬稠愁裯綢绸儔俦幬帱疇畴籌筹躊踌讐讎雠丑瞅醜臭稻…,1/326
四支,上平,第三部,o,倭堕鹾,阿襖袄薄保寶宝抱報报波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓磋…,3/384
四支,上平,第三部,u,雎,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨…,1/725
四支,上平,第三部,uai,乖隗,拐𧊅柺夬怪噲哙鮭鲑劊刽徊淮槐懷怀壞坏匯汇會会薈荟澮浍檜桧繪绘…,2/55
四支,上平,第三部,uan,宦,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,1/433
四支,上平,第三部,ue,铍,掰㧳杯揹背貝贝倍狽狈悖被焙蓓碚誖褙輩辈鋇钡菠揣箠兌兑裰飛飞沸…,1/193
四支,上平,第三部,ueh,诐,恶惡刮郭𰉗砉划劃噦哕沫詖缺闕阙闋阕刷唰涮說说襪袜物血月刖畫𠱀,1/31
四支,上平,第三部,ui,推槌锥羸椑累隋窥随荽追妫棰夔垂榱逵潍濉戣亏葵惟睢椎唯骓觜隹帷埤遗痿规蕤委悲炊为衰维隗沩虽绥逶谁陲锤龟麾馗霉危萎嫘吹,杯背貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌捶搥箠錘鎚猝崔催摧…,57/459
四支,上平,第三部,ur,尸磁时狮思丝耔赍祠鼒孖糍孜蛳辞雌词撕资滋司差鹚訾粢氏髭辎厮咨嵫斯之虒师兹赀儿缌胔孳飔姿迟缁疵慈澌锱仔而私芝淄茨瓷,車车哧茌遲除鋤锄呲跐詞辭鶿鷀此泚次伺刺賜赐噁恶㧫侕荋兒耳洱爾…,56/307
五微,上平,第三部,i,饥祈希几机沂旗依圻衣讥稀畿叽玑晞欷颀,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,18/959
五微,上平,第三部,ui,韦闱微围腓非违归威飞淝痱斐𬴂薇霏肥巍葳绯菲扉晖徽挥帏妃辉,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,28/461
六鱼,上平,第四部,e,且车,嗄扒把爸耙唄呗廁厕叉扠杈茶查差儕侪車硨砗扯尺爹父華华藉籍加枷…,2/156
六鱼,上平,第四部,i,蕖璩虚渔予墟嘘欤渠歔蘧据舆闾淤榈茹鱼磲居车于誉余,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,24/960
六鱼,上平,第四部,ia,衙车,才車硨砗爹伽藉籍徛寄加佳迦珈枷痂家耞笳袈葭跏傢嘉斝賈贾檟槚价…,2/138
六鱼,上平,第四部,iat,趄,憋徶鱉鳖別别彆癶掣撤徹彻澈抶跌迭耊垤昳瓞耋絰绖鱖鳜虢唧即恝揭…,1/153
六鱼,上平,第四部,it,疋,筆笔必苾蓽荜嗶哔鉍铋觱篳筚蹕跸癟瘪叱熾炽得鍀锝迭昳佛蝠嫉瘠蹐…,1/100
六鱼,上平,第四部,o,锄蔬疏初,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草鋤楚礎础搓磋矬…,4/385
六鱼,上平,第四部,u,涂躇潴橥疽锄如苴龉樗湑胥槠徐挐胪驵洳纾储趄咀胠诸除庐屠茹雎鱼初狙梳祛糈沮蜍舒罝薯猪蛆滁书袪菹摅,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙芻刍鋤廚厨雛雏櫥橱躕蹰…,47/725
六鱼,上平,第四部,ur,妤驴畬裾玙旟与琚醵,差車哧茌遲迟鋤呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀此泚次伺刺賜…,9/276
七虞,上平,第四部,a,拏,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵…,1/239
七虞,上平,第四部,ak,恶,雹暴爆㩧北剝剥亳博搏駁驳膊戳錯错毒獨独讀读度踱鐸铎堊垩鄂惡萼…,1/199
七虞,上平,第四部,au,枹区,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奡傲奧奥隩嶴岙澳懊…,2/486
七虞,上平,第四部,i,瞿俱句隅衢嵎愚于,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,8/960
七虞,上平,第四部,iau,莩,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,1/414
七虞,上平,第四部,iu,裯揄蒌救浮,彪滮抽犨仇惆酬稠愁綢绸儔俦幬帱疇畴籌筹躊踌讐讎雠丑瞅醜臭稻丟…,5/324
七虞,上平,第四部,o,谟帑摹驽砮喁模孥禺膜嫫懦,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,12/373
七虞,上平,第四部,ok,恶,白百佰柏雹薄暴㩧㿺帛舶鉑铂箔礴卜啵蔔醭簿亍齪龊蔟簇蹙蹴纛督毒…,1/299
七虞,上平,第四部,ou,呕镀奴蒌诹𬬻句浮溇枸钨,煲哺補补布步部埠踄簿愁廚觕湊凑腠輳辏醋唗兜篼抖枓陡蚪斗豆逗鬥…,11/301
七虞,上平,第四部,u,葫𬣙租符涂盂粗娄荼蹰趋蒲劬凫泸茱图肤乌逾愉呱恶敷洙庑呜吁都辜匍诬颅岣扶狐桴洿隃巫刳龉揄雏榆趺糊鸬痀鹕儒郛芋湖俘蛛徂骷无吾娱酴酥滹虞俞窬嚅乎栌醐邘诛鸪菰臾殊稣蝓芦株鲈枯朐殂夫诹逋轳躯珠徒孺昫芜渝孚郚驹谀瑜姑岖铢拘瓠需途邬污胡卢屠萸蛄弧猢纡竽铺罛圬刍蒱襦媭殳苻驺蜈输迂浮吴瘐芙蚨莩苏枢喻怃愈雩驱梧壶呼须觎镂誧濡区龋姝母瑚朱毋晡毹盱鼯孤侏厨沽菟腴邾麸酺,煲烳捕哺補补布步佈怖部埠簿肏𰵩䯙初樗除芻滁蜍鋤锄廚躇雛櫥橱躕…,173/721
七虞,上平,第四部,ua,呱,貝贝播簸大帶带舵蓋盖歌瓜卦挂掛罣罫褂禾何和龢花華华嘩哗鏵铧驊…,1/116
七虞,上平,第四部,ur,氍,差車车哧茌遲迟除鋤锄呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀此泚次…,1/303
八齐,上平,第三部,ai,鲑,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,1/352
八齐,上平,第三部,i,荑批蛴缇奚梯兮骊鼷锑乩蠡萋绨跻低蹊稽鲵蠵齐猊禔诋泥霓狴蹄羝堤凄繄黎犀藜妻携鹂齑鹈氐鼙酰畦㶉题谿黧笄倪梨缔鸡西麑醍脐迷嵇提栖砒,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,62/957
八齐,上平,第三部,iat,折,憋徶鱉鳖別别彆癶掣撤徹彻澈抶跌迭耊垤昳瓞耋絰绖鱖鳜虢唧即恝揭…,1/153
八齐,上平,第三部,in,篦,箅砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈晨…,1/280
八齐,上平,第三部,ip,折,給给圾芨緝缉及岌汲笈急級级疾戢集蒺楫蕺輯辑立笠粒泣葺入澀涩歙…,1/62
八齐,上平,第三部,oi,粞,挨矮𠜱釵钗喫代底改噲哙鮭會会𣍐𫧃𠁞𠀾雞計计濟济㩼階阶街解疥犁…,1/66
八齐,上平,第三部,oih,挤,八捌拔擠裌夹夾莢荚節节截笠塞俠侠狹狭楔挾挟意代𩐅,1/25
八齐,上平,第三部,uai,鲑,乖拐𧊅柺夬怪噲哙鮭劊刽徊淮槐懷怀壞坏匯汇會会薈荟澮浍檜桧繪绘…,1/55
八齐,上平,第三部,ui,圭鲑奎椑闺嶲睽巂暌,杯卑背悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥棰…,9/463
八齐,上平,第三部,ur,儿嘶赍澌撕,差車车哧茌遲迟除鋤锄呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀此泚次…,5/308
九佳,上平,第五部,a,差,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵…,1/239
九佳,上平,第五部,ai,豺捱喈痎差皆偕俳崖排阶侪鞋楷霾睚钗埋鲑荄涯挨揩谐牌柴斋街崽骸,哎哀埃唉皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜敗败…,30/355
九佳,上平,第五部,i,街,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,1/959
九佳,上平,第五部,ia,佳,才車车硨砗爹伽藉籍徛寄加迦珈枷痂家耞笳袈葭跏傢嘉斝賈贾檟槚价…,1/138
九佳,上平,第五部,o,娲,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,1/385
九佳,上平,第五部,ua,洼哇娃蜗蛙,貝贝播簸大帶带舵蓋盖歌呱瓜卦挂掛罣罫褂禾何和龢花華华嘩哗鏵铧…,5/114
九佳,上平,第五部,uai,怀淮鲑槐乖,拐𧊅柺夬怪噲哙鮭劊刽徊懷壞坏匯汇會会薈荟澮浍檜桧繪绘蒯擓㧟快…,5/55
九佳,上平,第五部,ui,鲑,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,1/464
九佳,上平,第五部,ur,差,車车哧茌遲迟除鋤锄呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀此泚次伺…,1/308
十灰,上平,第五部,a,咳,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵…,1/240
十灰,上平,第五部,ai,来猜胚菑鳃铠栽才薹灾该裁哀台陔呆骀胎邰唉镅颏鲐莱垓赅皑荄苔抬崃孩咳徘埃财材徊开欸哉,哎挨捱皚矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜敗败稗憊…,41/355
十灰,上平,第五部,eng,能,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,1/584
十灰,上平,第五部,iu,掊,彪滮抽犨仇惆酬稠愁裯綢绸儔俦幬帱疇畴籌筹躊踌讐讎雠丑瞅醜臭稻…,1/326
十灰,上平,第五部,ou,醅,煲哺補补布步部埠踄簿愁廚厨觕湊凑腠輳辏粗醋都唗兜篼抖枓陡蚪斗…,1/337
十灰,上平,第五部,uai,槐隗坏徊,乖拐𧊅柺夬怪噲哙鮭鲑劊刽淮懷怀壞匯汇會会薈荟澮浍檜桧繪绘蒯擓…,4/55
十灰,上平,第五部,ue,捼醅挼,掰㧳揹背貝贝倍狽狈悖被焙蓓碚誖褙輩辈鋇钡菠揣吹炊棰箠兌兑裰飛…,3/178
十灰,上平,第五部,ui,推堆陪莓颓诙桅裴催隈杯脢垒枚灰缞玫回茴锤摧雷崔梅煤魁瑰傀煨捶媒追嵬掊恢洄儡隗偎培徊盔欸,卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲搥棰槌…,43/463
十灰,上平,第五部,uinn,虺,蜚,1/2
十灰,上平,第五部,ut,抔,不鈈钚出齣怵黜猝咄柮飿饳芾沸弗佛拂茀彿怫氟祓艴紱绂紼绋髴黻汩…,1/114
十一真,上平,第六部,an,瞷,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,1/316
十一真,上平,第六部,eng,甡,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,1/584
十一真,上平,第六部,ian,嗔填湮缜畛瞋,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,6/580
十一真,上平,第六部,im,亲纫,參参岑涔郴琛沉忱諶谌酖掂定今金衿襟錦锦妗浸禁寖噤林淋琳啉霖臨…,2/158
十一真,上平,第六部,in,绅辛寅嗔螓辰溱裀嫔神缗尘茵闽蓁亲麟因人振臻晨仁邻娠岷甄瞵身伸鳞真濒宸颦臣辚薪津榛珍贫申磷莘夤秦嶙堙民瞋泯频氤姻陈呻新,箅篦砭匾貶贬便遍瀕擯摈殯殡臏膑髕髌鬢鬓稟禀摒陳塵齔龀櫬榇襯衬…,58/279
十一真,上平,第六部,ing,邠彬斌豳,浜瓶陳鱗秤稱咽銦煙胭鄄引癮蚓印演鉛沿暈乒濱檳繽賓儐品匾稟箅遍…,4/110
十一真,上平,第六部,uan,皴纶,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,2/433
十一真,上平,第六部,un,匀逡郇珣春迍轮谆屯份洵伦仑窀恂肫旻鹑荀囷醇遵莼竣循询峋纯椿驯惇旬巡筠纶淳麇菌沦抡,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈純脣蒓鶉蠢邨村存𢙨忖寸…,40/376
十一真,上平,第六部,urn,巾龂嚚钧均垠鄞訚狺银,恩蒽摁根跟哏艮茛痕很狠恨斤觔筋卺巹堇僅仅廑瑾槿謹谨饉馑近劤靳…,10/63
十二文,上平,第六部,an,颁,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒瘢癍阪坂板版蝂闆扮辦办便…,1/320
十二文,上平,第六部,eng,听,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,1/584
十二文,上平,第六部,i,蕲贲,稗陂卑背悲碑被備备鞁憊惫鞴賁屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀痺…,2/960
十二文,上平,第六部,ian,员,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,1/582
十二文,上平,第六部,in,云君殷军,箅篦砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈…,4/280
十二文,上平,第六部,n,勋欣昕,掀鍁锨軒轩勛勳燻,3/11
十二文,上平,第六部,ng,文,榜本甭倉仓艙舱長长腸肠川穿傳传瘡疮牀床創创刺邨村當当鐺铛荡盪…,1/163
十二文,上平,第六部,uan,员,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,1/433
十二文,上平,第六部,ui,玟辉,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,2/464
十二文,上平,第六部,un,𣸣棻皲文缊云雯坟纭涢纷雰分枌贲氲熏蚊闻郧纹芸裙耘醺薰芬汾曛焚汶荤煴氛,奔逩賁錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑蠢…,34/374
十二文,上平,第六部,urn,筋龂芹垠鄞訚狺勤斤廑,恩蒽摁根跟哏艮茛痕很狠恨巾觔卺巹堇僅仅瑾槿謹谨饉馑近劤靳殣覲…,10/62
十三元,上平,第七部,an,元,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,1/319
十三元,上平,第七部,i,亹贲,稗陂卑背悲碑被備备鞁憊惫鞴賁屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀痺…,2/960
十三元,上平,第七部,ian,言媛爰辕鼋阮冤宛芫援园骞羱猿怨掀原元圈鸳源轩蹇袁湲犍,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,26/582
十三元,上平,第七部,o,繁,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,1/385
十三元,上平,第七部,uam,矾樊,帆凡釩钒礬犯氾泛汎范梵範患,2/15
十三元,上平,第七部,uan,暄谖墦沅幡辕鼋阮燔眢垣膰番芫璠喧羱猿烦原反元繁圈洹樊翻源藩蜿蹯萱,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,32/428
十三元,上平,第七部,uann,番,安鞍按案般搬坂半伴殘残產产丹單单撣掸旦憚惮彈弹販贩杆肝竿秆桿…,1/127
十三元,上平,第七部,ui,辉,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,1/464
十三元,上平,第七部,un,瘟臀溷飧沌论温崑魂缊扪屯豚坤饨仑贲喷昆尊髡孙琨蕴炖狲敦馄湓囤荪惛蹲浑纯阍婚村吞暾存惇抡门奔蕰墩昏盆,逩賁錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純脣淳蒓莼醇鶉鹑蠢邨𢙨…,49/376
十三元,上平,第七部,urn,恩根垠痕跟,蒽摁哏艮茛很狠恨巾斤觔筋卺巹堇僅仅廑瑾槿謹谨饉馑近劤靳殣覲觐…,5/63
十四寒,上平,第七部,an,韩滩残丹栏安箪摊叹般单邗汉弹翰郸澜看钻姗奸檀寒跚鞍兰瘢谰拦殚刊干阑犴瘅攒餐珊汗肝掸鼾竿顸难坛杆,桉氨俺銨铵岸按胺案扳班斑搬頒颁癍阪坂板版蝂闆扮辦办便殘粲璨燦…,47/320
十四寒,上平,第七部,eng,拼,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,1/584
十四寒,上平,第七部,ian,单完弁羱干鳣禅丸纨,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞汴忭便遍辨辮…,9/582
十四寒,上平,第七部,o,繁,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,1/383
十四寒,上平,第七部,uan,狻观盘湾曼团蟠般湍鳗刓官磐冠眢潘酸宽娈髋漙莞馒脘胖倌羱颟栾欢剜抟鸾漫墁萑拌皖攒耑繁洹銮蹒丸桓芄棺峦瞒端谩,搬半伴柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜爨皴…,52/425
十四寒,上平,第七部,uat,般,拔茇跋魃鼥孛荸癶缽钵鉢撥拨餑饽勃脖渤鈸钹鵓鹁絀绌啜惙輟辍撮咄…,1/114
十四寒,上平,第七部,ui,萑,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,1/464
十四寒,上平,第七部,un,敦,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑…,1/376
十五删,上平,第七部,an,删菅攀孱斑讪奸扳斓山蕑间潺瞷般蛮疝颁潸班,安桉氨鞍俺銨铵犴岸按胺案搬頒瘢癍阪坂板版蝂闆扮辦办便餐殘残粲…,20/318
十五删,上平,第七部,ian,娴悭闲间颜痫艰湲顽,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,9/582
十五删,上平,第七部,in,殷,箅篦砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈…,1/280
十五删,上平,第七部,uam,患,帆凡釩钒樊礬矾犯氾泛汎范梵範,1/15
十五删,上平,第七部,uan,鳏鬟菅还寰擐环轘镮关弯湾澴纶般颜顽圜,搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜爨…,18/432
十五删,上平,第七部,uat,般,拔茇跋魃鼥孛荸癶缽钵鉢撥拨餑饽勃脖渤鈸钹鵓鹁絀绌啜惙輟辍撮咄…,1/114
十五删,上平,第七部,un,纶,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑…,1/377
一先,下平,第七部,an,孱单干膻潺,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,5/316
一先,下平,第七部,eng,穿零胼平,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,4/583
一先,下平,第七部,iam,婵,覘觇幨嬋蟬蟾諂谄敁掂踮點点坫店玷惦扂墊垫簟鞥尖兼蒹緘缄縑缣殲…,1/213
